CC.EST,GE.EST,PV.EST,RL.EST,RL.NO.SRC,RQ.EST,VA.EST
-0.141021639,-0.978631914,-0.253512949,-0.487898558,11,-0.669014096,-0.001744201
0.778560698,1.014909744,0.92147696,0.948482454,11,1.080174565,1.004180908
2.023699522,1.792388916,1.212482333,1.735900402,8,1.838177085,1.497463703
0.693109572,0.838092744,0.462181747,0.922136366,11,1.180404305,0.868685663
0.768973529,1.074959755,1.137552023,0.81148082,3,1.737213492,-0.290419191
1.265453935,2.028389215,1.177310586,1.36683476,1,1.335421324,0.672939897
-0.586998105,-0.533600271,-0.340111285,-0.515005589,10,-0.010916068,-0.056292024
-1.010506511,-1.053035736,-0.509334743,-0.879633844,12,-0.811572015,-0.263206869
-0.285472602,-0.091672421,0.363029808,-0.239435226,5,-0.588554084,-0.302701384
-0.921630204,-0.270338684,-0.791455746,-0.642182171,13,-0.012910045,-0.027388219
0.467278957,0.113665514,0.982413173,0.597279549,4,-0.670987487,1.131075263
-0.494269162,0.02825786,0.112060539,-0.106092595,9,0.435726047,0.055444367
-0.800912976,-1.186405301,-2.146352053,-0.949093223,13,-0.673809767,-0.760558069
0.342483103,0.994064867,0.998477995,0.88372612,7,1.210128903,1.118516684
-0.679686844,-1.016069651,-1.511740446,-1.195709229,11,-0.621483266,-0.939642191
-0.043737181,-0.106665947,-0.061197139,-0.040588934,9,0.42420873,0.041490994
-0.494853646,-0.419692069,0.717836559,-0.269424438,12,-0.108932532,0.374683976
-0.787528455,-0.810174465,-1.283123493,-1.076706767,10,-0.772882998,-0.595090806
-0.815433323,-0.839177847,-0.700949967,-0.603924096,10,-0.894477546,-0.827085018
0.632067442,0.911797345,0.604250848,0.621794641,1,0.93036598,0
0.44104737,0.853226721,0.873045504,0.88686353,10,1.181130648,0.705348969
-0.39216423,-0.818265617,-0.118886553,-0.277480274,14,-0.785046399,0.002628359
0.228581384,1.022258878,0.125864699,0.573119819,9,0.66661346,-0.154460147
0.268673807,0.05236204,0.512431562,0.331514955,10,0.0099776,0.553159714
-0.66267544,-0.660878658,-1.667207718,-0.573561907,12,-0.798238993,-0.494895458
-1.118567109,-1.143787026,-1.892014623,-0.842042089,13,-1.024434328,-0.581086993
-1.180352092,-0.679674625,-0.585719466,-1.198743939,12,-0.679826021,-1.097819209
0,0,1.357103944,0,0,0,1.274689317
1.999983191,1.805217981,0.830933392,1.706331134,10,1.748252153,1.520005703
